model,dataset,split,imgsz,iou,device,params_M,GFLOPs,mAP50,mAP50_95,precision,recall,total_time_s,n_images,ms_per_image,inference_ms
yolov8n,VOC_cocomap.yaml,val,640,0.6,cpu,3.16,8.86,0.8077,0.5979,0.7655,0.751,284.8,4952,57.51,50.8
yolo11n,VOC_cocomap.yaml,val,640,0.6,cpu,2.62,6.61,0.8227,0.6219,0.7901,0.7623,270.69,4952,54.66,49.0
yolo11s,VOC_cocomap.yaml,val,640,0.6,cpu,9.46,21.72,0.8614,0.6772,0.8015,0.8201,719.73,4952,145.34,139.29
yolo11m,VOC_cocomap.yaml,val,640,0.6,cpu,20.11,68.53,0.8707,0.7041,0.7978,0.8309,1951.92,4952,394.17,387.31
yolo11n,VOC_cocomap.yaml,val,320,0.6,cpu,2.62,1.65,0.77,0.5658,0.7593,0.7105,105.02,4952,21.21,16.77
yolo11n,VOC_cocomap.yaml,val,960,0.6,cpu,2.62,14.88,0.7692,0.5054,0.735,0.7216,732.84,4952,147.99,135.91
yolo11n,VOC_cocomap.yaml,val,640,0.45,cpu,2.62,6.61,0.8205,0.6153,0.793,0.7613,322.22,4952,65.07,58.06
yolo11n,VOC_cocomap.yaml,val,640,0.7,cpu,2.62,6.61,0.8198,0.6244,0.788,0.7604,325.7,4952,65.77,58.28
yolo26n,VOC_cocomap.yaml,val,640,0.6,cpu,2.57,6.12,0.8172,0.6309,0.786,0.7527,289.67,4952,58.5,50.64
yolov8n,coco20.yaml,val,640,0.6,cpu,3.16,8.86,0.618,0.4333,0.7093,0.552,283.88,5000,56.78,48.92
yolo11n,coco20.yaml,val,640,0.6,cpu,2.62,6.61,0.6479,0.4575,0.7158,0.5885,278.45,5000,55.69,48.34
yolo26n,coco20.yaml,val,640,0.6,cpu,2.57,6.12,0.6434,0.4634,0.7267,0.5668,256.45,5000,51.29,45.79
yolo11s,coco20.yaml,val,640,0.6,cpu,9.46,21.72,0.7193,0.5271,0.7609,0.6502,665.1,5000,133.02,126.24
yolo11m,coco20.yaml,val,640,0.6,cpu,20.11,68.53,0.7585,0.5704,0.7774,0.6913,1750.18,5000,350.04,343.59
yolov8s,VOC_cocomap.yaml,val,640,0.6,cpu,11.17,28.82,0.8471,0.6569,0.8067,0.7889,729.86,4952,147.39,136.85
yolo26s,VOC_cocomap.yaml,val,640,0.6,cpu,10.01,22.84,0.8589,0.686,0.7891,0.8114,744.61,4952,150.36,144.85
yolov8s,coco20.yaml,val,640,0.6,cpu,11.17,28.82,0.6942,0.503,0.7354,0.6355,811.15,5000,162.23,151.37
yolo26s,coco20.yaml,val,640,0.6,cpu,10.01,22.84,0.7202,0.5363,0.7568,0.6435,756.08,5000,151.22,145.08
