dataset,model,imgsz,iou,params_M,GFLOPs,mAP50,mAP50_95,total_time_s,ms_per_image
VOC,yolo11m,640,0.6,20.11,68.53,0.8707,0.7041,1951.92,394.17
VOC,yolo11n,320,0.6,2.62,1.65,0.77,0.5658,105.02,21.21
VOC,yolo11n,640,0.45,2.62,6.61,0.8205,0.6153,322.22,65.07
VOC,yolo11n,640,0.6,2.62,6.61,0.8227,0.6219,270.69,54.66
VOC,yolo11n,640,0.7,2.62,6.61,0.8198,0.6244,325.7,65.77
VOC,yolo11n,960,0.6,2.62,14.88,0.7692,0.5054,732.84,147.99
VOC,yolo11s,640,0.6,9.46,21.72,0.8614,0.6772,719.73,145.34
VOC,yolo26n,640,0.6,2.57,6.12,0.8172,0.6309,289.67,58.5
VOC,yolo26s,640,0.6,10.01,22.84,0.8589,0.686,744.61,150.36
VOC,yolov8n,640,0.6,3.16,8.86,0.8077,0.5979,284.8,57.51
VOC,yolov8s,640,0.6,11.17,28.82,0.8471,0.6569,729.86,147.39
COCO20,yolo11m,640,0.6,20.11,68.53,0.7585,0.5704,1750.18,350.04
COCO20,yolo11n,640,0.6,2.62,6.61,0.6479,0.4575,278.45,55.69
COCO20,yolo11s,640,0.6,9.46,21.72,0.7193,0.5271,665.1,133.02
COCO20,yolo26n,640,0.6,2.57,6.12,0.6434,0.4634,256.45,51.29
COCO20,yolo26s,640,0.6,10.01,22.84,0.7202,0.5363,756.08,151.22
COCO20,yolov8n,640,0.6,3.16,8.86,0.618,0.4333,283.88,56.78
COCO20,yolov8s,640,0.6,11.17,28.82,0.6942,0.503,811.15,162.23
